RomName,Console,FileSize,FileType,LocationUrl,DownloadUrl,DateFirstAdded, DateLastUpdated,FlagDownload,PreviouslyDownloaded,Rating,LocalPath,Notes
Adventures of Lolo,Nintendo,36 KB,fType,https://vimm.net/vault/34,https://download2.vimm.net/download/?mediaId=34,dateF,dateL,False,False,rate,lPath,blah
Adventures of Lolo 2,Nintendo,46 KB,fType,https://vimm.net/vault/35,https://download2.vimm.net/download/?mediaId=35,dateF,dateL,False,False,rate,lPath,blah
Adventures of Lolo 3,Nintendo,128 KB,fType,https://vimm.net/vault/36,https://download2.vimm.net/download/?mediaId=36,dateF,dateL,False,False,rate,lPath,blah
Adventures of Musashi The,Nintendo,130 KB,fType,https://vimm.net/vault/24,https://download2.vimm.net/download/?mediaId=24,dateF,dateL,False,False,rate,lPath,blah
Adventures of Rad Gravity The,Nintendo,142 KB,fType,https://vimm.net/vault/38,https://download2.vimm.net/download/?mediaId=38,dateF,dateL,False,False,rate,lPath,blah
Adventures of Rocky and Bullwinkle and Friends The,Nintendo,93 KB,fType,https://vimm.net/vault/26,https://download2.vimm.net/download/?mediaId=26,dateF,dateL,False,False,rate,lPath,blah
Adventures of Tom Sawyer,Nintendo,112 KB,fType,https://vimm.net/vault/39,https://download2.vimm.net/download/?mediaId=39,dateF,dateL,False,False,rate,lPath,blah
Adventures of Valecule The,Nintendo,36 KB,fType,https://vimm.net/vault/27,https://download2.vimm.net/download/?mediaId=27,dateF,dateL,False,False,rate,lPath,blah
After Burner,Nintendo,123 KB,fType,https://vimm.net/vault/40,https://download2.vimm.net/download/?mediaId=40,dateF,dateL,False,False,rate,lPath,blah
Air Fortress,Nintendo,93 KB,fType,https://vimm.net/vault/41,https://download2.vimm.net/download/?mediaId=41,dateF,dateL,False,False,rate,lPath,blah
Airwolf,Nintendo,110 KB,fType,https://vimm.net/vault/42,https://download2.vimm.net/download/?mediaId=42,dateF,dateL,False,False,rate,lPath,blah
Airwolf,Nintendo,98 KB,fType,https://vimm.net/vault/44,https://download2.vimm.net/download/?mediaId=44,dateF,dateL,False,False,rate,lPath,blah
Akumajyou Densetsu,Nintendo,244 KB,fType,https://vimm.net/vault/45,https://download2.vimm.net/download/?mediaId=45,dateF,dateL,False,False,rate,lPath,blah
Al Unser Jr. Turbo Racing,Nintendo,96 KB,fType,https://vimm.net/vault/52,https://download2.vimm.net/download/?mediaId=52,dateF,dateL,False,False,rate,lPath,blah
Alex DeMeo's Race America,Nintendo,94 KB,fType,https://vimm.net/vault/679,https://download2.vimm.net/download/?mediaId=679,dateF,dateL,False,False,rate,lPath,blah
Alfred Chicken,Nintendo,74 KB,fType,https://vimm.net/vault/47,https://download2.vimm.net/download/?mediaId=47,dateF,dateL,False,False,rate,lPath,blah
Alien 3,Nintendo,79 KB,fType,https://vimm.net/vault/48,https://download2.vimm.net/download/?mediaId=48,dateF,dateL,False,False,rate,lPath,blah
Alien Syndrome,Nintendo,105 KB,fType,https://vimm.net/vault/49,https://download2.vimm.net/download/?mediaId=49,dateF,dateL,False,False,rate,lPath,blah
All-Pro Basketball,Nintendo,113 KB,fType,https://vimm.net/vault/50,https://download2.vimm.net/download/?mediaId=50,dateF,dateL,False,False,rate,lPath,blah
Alpha Mission,Nintendo,31 KB,fType,https://vimm.net/vault/51,https://download2.vimm.net/download/?mediaId=51,dateF,dateL,False,False,rate,lPath,blah
Altered Beast,Nintendo,110 KB,fType,https://vimm.net/vault/2864,https://download2.vimm.net/download/?mediaId=2864,dateF,dateL,False,False,rate,lPath,blah
Amagon,Nintendo,72 KB,fType,https://vimm.net/vault/53,https://download2.vimm.net/download/?mediaId=53,dateF,dateL,False,False,rate,lPath,blah
American Dream,Nintendo,100 KB,fType,https://vimm.net/vault/2866,https://download2.vimm.net/download/?mediaId=2866,dateF,dateL,False,False,rate,lPath,blah
American Gladiators,Nintendo,130 KB,fType,https://vimm.net/vault/54,https://download2.vimm.net/download/?mediaId=54,dateF,dateL,False,False,rate,lPath,blah
Antarctic Adventure,Nintendo,20 KB,fType,https://vimm.net/vault/2868,https://download2.vimm.net/download/?mediaId=2868,dateF,dateL,False,False,rate,lPath,blah
Anticipation,Nintendo,46 KB,fType,https://vimm.net/vault/55,https://download2.vimm.net/download/?mediaId=55,dateF,dateL,False,False,rate,lPath,blah
Arch-Rivals: A Basketbrawl!,Nintendo,69 KB,fType,https://vimm.net/vault/57,https://download2.vimm.net/download/?mediaId=57,dateF,dateL,False,False,rate,lPath,blah
Archon,Nintendo,58 KB,fType,https://vimm.net/vault/56,https://download2.vimm.net/download/?mediaId=56,dateF,dateL,False,False,rate,lPath,blah
Arkanoid,Nintendo,21 KB,fType,https://vimm.net/vault/58,https://download2.vimm.net/download/?mediaId=58,dateF,dateL,False,False,rate,lPath,blah
Arkista's Ring,Nintendo,38 KB,fType,https://vimm.net/vault/59,https://download2.vimm.net/download/?mediaId=59,dateF,dateL,False,False,rate,lPath,blah
Armadillo,Nintendo,384 KB,fType,https://vimm.net/vault/2870,https://download2.vimm.net/download/?mediaId=2870,dateF,dateL,False,False,rate,lPath,blah
Armed Dragon Fantasy: Villgust,Nintendo,192 KB,fType,https://vimm.net/vault/60,https://download2.vimm.net/download/?mediaId=60,dateF,dateL,False,False,rate,lPath,blah
Astro Fang: Super Machine,Nintendo,86 KB,fType,https://vimm.net/vault/62,https://download2.vimm.net/download/?mediaId=62,dateF,dateL,False,False,rate,lPath,blah
Astyanax,Nintendo,135 KB,fType,https://vimm.net/vault/64,https://download2.vimm.net/download/?mediaId=64,dateF,dateL,False,False,rate,lPath,blah
Athena,Nintendo,71 KB,fType,https://vimm.net/vault/65,https://download2.vimm.net/download/?mediaId=65,dateF,dateL,False,False,rate,lPath,blah
Athletic World,Nintendo,33 KB,fType,https://vimm.net/vault/66,https://download2.vimm.net/download/?mediaId=66,dateF,dateL,False,False,rate,lPath,blah
Attack Animal Academy,Nintendo,52 KB,fType,https://vimm.net/vault/67,https://download2.vimm.net/download/?mediaId=67,dateF,dateL,False,False,rate,lPath,blah
Attack of the Killer Tomatoes,Nintendo,114 KB,fType,https://vimm.net/vault/69,https://download2.vimm.net/download/?mediaId=69,dateF,dateL,False,False,rate,lPath,blah
Baby Boomer,Nintendo,31 KB,fType,https://vimm.net/vault/70,https://download2.vimm.net/download/?mediaId=70,dateF,dateL,False,False,rate,lPath,blah
Back to the Future,Nintendo,36 KB,fType,https://vimm.net/vault/72,https://download2.vimm.net/download/?mediaId=72,dateF,dateL,False,False,rate,lPath,blah
Back to the Future Part II & III,Nintendo,127 KB,fType,https://vimm.net/vault/71,https://download2.vimm.net/download/?mediaId=71,dateF,dateL,False,False,rate,lPath,blah
Bad Dudes,Nintendo,120 KB,fType,https://vimm.net/vault/74,https://download2.vimm.net/download/?mediaId=74,dateF,dateL,False,False,rate,lPath,blah
Bad News Baseball,Nintendo,131 KB,fType,https://vimm.net/vault/75,https://download2.vimm.net/download/?mediaId=75,dateF,dateL,False,False,rate,lPath,blah
Bad Street Brawler,Nintendo,78 KB,fType,https://vimm.net/vault/73,https://download2.vimm.net/download/?mediaId=73,dateF,dateL,False,False,rate,lPath,blah
Balloon Fight,Nintendo,16 KB,fType,https://vimm.net/vault/76,https://download2.vimm.net/download/?mediaId=76,dateF,dateL,False,False,rate,lPath,blah
Banana Prince,Nintendo,141 KB,fType,https://vimm.net/vault/77,https://download2.vimm.net/download/?mediaId=77,dateF,dateL,False,False,rate,lPath,blah
Bandai Golf: Challenge Pebble Beach,Nintendo,35 KB,fType,https://vimm.net/vault/162,https://download2.vimm.net/download/?mediaId=162,dateF,dateL,False,False,rate,lPath,blah
Bandit Kings of Ancient China,Nintendo,191 KB,fType,https://vimm.net/vault/79,https://download2.vimm.net/download/?mediaId=79,dateF,dateL,False,False,rate,lPath,blah
Barbie,Nintendo,108 KB,fType,https://vimm.net/vault/80,https://download2.vimm.net/download/?mediaId=80,dateF,dateL,False,False,rate,lPath,blah
Bard's Tale The,Nintendo,79 KB,fType,https://vimm.net/vault/81,https://download2.vimm.net/download/?mediaId=81,dateF,dateL,False,False,rate,lPath,blah
Barker Bill's Trick Shooting,Nintendo,75 KB,fType,https://vimm.net/vault/82,https://download2.vimm.net/download/?mediaId=82,dateF,dateL,False,False,rate,lPath,blah
Baseball,Nintendo,17 KB,fType,https://vimm.net/vault/83,https://download2.vimm.net/download/?mediaId=83,dateF,dateL,False,False,rate,lPath,blah
Baseball Simulator 1.000,Nintendo,123 KB,fType,https://vimm.net/vault/129,https://download2.vimm.net/download/?mediaId=129,dateF,dateL,False,False,rate,lPath,blah
Baseball Stars,Nintendo,126 KB,fType,https://vimm.net/vault/130,https://download2.vimm.net/download/?mediaId=130,dateF,dateL,False,False,rate,lPath,blah
Baseball Stars II,Nintendo,154 KB,fType,https://vimm.net/vault/131,https://download2.vimm.net/download/?mediaId=131,dateF,dateL,False,False,rate,lPath,blah
Bases Loaded,Nintendo,141 KB,fType,https://vimm.net/vault/84,https://download2.vimm.net/download/?mediaId=84,dateF,dateL,False,False,rate,lPath,blah
Bases Loaded 3,Nintendo,152 KB,fType,https://vimm.net/vault/86,https://download2.vimm.net/download/?mediaId=86,dateF,dateL,False,False,rate,lPath,blah
